program pdb_name pdb_len rmsd
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.23
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.15
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 15.07
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.43
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
rosetta 3R4F 66 11.41
